abv,ibu,id,name,style,brewery_id,ounces
0.077,,2261,Black Exodus,Oatmeal Stout,177,12.0
0.06,38.0,2689,Pumpion,Pumpkin Ale,0,16.0
27,,2688,Stronghold,American Porter,0,16.0
0.055,47.0,2687,Parapet ESB,Extra Special / Strong Bitter (ESB),0,16.0
0.069,,1854,Blue Boots IPA,American IPA,,16.0
30,,1227,Hoppy Bitch IPA,American IPA,,16.0
0.063,42.0,1226,Three Skulls Ale Pale Ale,American Pale Ale (APA),,16.0
0.045,,541,Walter's Premium Pilsener Beer,German Pilsener,529,12.0
0.045,,109,Floppin' Crappie,American Pale Wheat Ale,529,12.0
0.043,,1917,Left of the Dial IPA,American IPA,271,12.0
0.04,,1190,Notch Session Pils,Czech Pilsener,271,12.0
0.055,,1264,O'Fallon Pumpkin Beer,Pumpkin Ale,442,12.0
0.061,66.0,1258,5 Day IPA,American IPA,442,12.0
0.051,7.0,128,O'Fallon Wheach,Fruit / Vegetable Beer,442,12.0
0.067,70.0,2331,Watershed IPA,American IPA,150,12.0
0.054,24.0,1669,Oakshire Amber Ale,American Amber / Red Ale,150,12.0
0.057,27.0,1668,Overcast Espresso Stout,American Stout,150,12.0
0.067,70.0,999,Watershed IPA (2013),American IPA,150,12.0
0.081,25.0,2247,Lake Monster,Baltic Porter,184,16.0
0.049,27.0,2071,London Homesick Ale,English Bitter,184,12.0
0.048,35.0,2070,Luchesa Lager,Keller Bier / Zwickel Bier,184,12.0
0.048,35.0,2069,Slow Ride,American Pale Ale (APA),184,12.0
0.047,,2192,Occidental Hefeweizen,American Pale Wheat Ale,200,16.0
0.051,,1130,Occidental Dunkel,Dunkelweizen,200,16.0
0.05,,1129,Occidental Altbier,Altbier,200,16.0
0.045,,1081,Occidental Kölsch,Kölsch,200,16.0
0.092,72.0,2335,Perpetual Darkness,Belgian Strong Dark Ale,148,12.0
0.087,29.0,2334,Clan Warrior,Scotch Ale / Wee Heavy,148,12.0
0.054,36.0,2333,Psycho Penguin Vanilla Porter,American Porter,148,12.0
0.047,,1721,Heliocentric Hefeweizen,Hefeweizen,148,12.0
0.051,,1720,Ghose Drifter Pale Ale,American Pale Ale (APA),148,12.0
0.051,,1431,Ghost Rider Pale Ale (2013),American Pale Ale (APA),148,12.0
0.047,,1430,Helios Hefeweizen (2013),Hefeweizen,148,12.0
0.095,19.0,1059,The Hole in Hadrian's Wall,Scottish Ale,471,16.0
0.065,26.0,1058,33 Select Brown Ale,American Brown Ale,471,16.0
0.06,29.0,603,Midwest Charm Farmhouse Ale,Saison / Farmhouse Ale,471,16.0
0.05,45.0,602,Boji Blue Pale Ale,American Pale Ale (APA),471,16.0
0.057,26.0,601,Winter Games Select #32 Stout,American Stout,471,16.0
0.05,23.0,600,Boji Beach Golden Rye Ale,Rye Beer,471,16.0
0.06,,1828,Hopsmith Pale Lager,American Pale Lager,301,16.0
0.065,65.0,1487,Falling Down Brown Ale,American Brown Ale,301,16.0
0.068,,1486,Resolution Rye Stout,American Stout,301,16.0
0.055,,1485,Plowshare Porter,American Porter,301,16.0
0.046,20.0,1394,Old Forge Pumpkin Ale,Pumpkin Ale,301,16.0
0.045,,1381,Endless Sun Ale,American Pale Wheat Ale,301,16.0
0.065,,900,Celestial Blonde Ale,American Blonde Ale,301,16.0
0.075,,891,Overbite IPA,American IPA,301,16.0
0.055,,509,T-Rail Pale Ale,American Pale Ale (APA),301,16.0
0.048,,508,Endless Summer Ale (2011),American Pale Wheat Ale,301,16.0
0.053,,1530,Clem's Gold,American Pale Lager,390,16.0
0.055,,1529,Lizzy's Red,American Amber / Red Lager,390,16.0
0.067,,1528,Orlison India Pale Lager,American Pale Lager,390,16.0
0.042,,1527,Brünette,Euro Dark Lager,390,16.0
0.0409999999999999,,1526,Havanüther,Light Lager,390,16.0
0.065,,2113,Lyric Ale,Saison / Farmhouse Ale,216,12.0
0.053,,2112,Atalanta,Saison / Farmhouse Ale,216,12.0
0.049,35.0,2302,Pinner Throwback IPA,American IPA,166,12.0
0.052,,1883,Centennial State Pale Ale,American Pale Ale (APA),166,19.2
0.08,,1859,Old Chub NITRO,Scotch Ale / Wee Heavy,166,16.0
,,1796,The CROWLER™,,166,32.0
,,1790,CAN'D AID Foundation,,166,12.0
,,1752,Icey.P.A.,American IPA,166,16.0
0.05,,1751,One Nut Brown,English Brown Ale,166,12.0
,,1750,Birth IPA,American IPA,166,12.0
0.065,65.0,1444,Dale's Pale Ale,American Pale Ale (APA),166,12.0
0.065,65.0,1252,Dale's Pale Ale,American Pale Ale (APA),166,12.0
0.053,35.0,1167,Mama's Little Yella Pils,Czech Pilsener,166,19.2
0.085,,993,oSKAr the G'Rauch,American IPA,166,19.2
0.085,,992,oSKAr the G'Rauch,American IPA,166,16.0
0.065,65.0,955,Dale's Pale Ale,American Pale Ale (APA),166,19.2
0.07,,933,The Deuce,American Brown Ale,166,16.0
0.065,65.0,892,Dale's Pale Ale (10 Year Anniversary),American Pale Ale (APA),166,12.0
0.065,65.0,828,Dale's Pale Ale (2012),American Pale Ale (APA),166,12.0
0.087,85.0,806,Gordon Imperial Red (2010),American Double / Imperial IPA,166,12.0
0.065,65.0,755,Dale's Pale Ale (2011),American Pale Ale (APA),166,12.0
